Component Count:,42,,,,,
,,,,,,
Ref,Qnty,Value,Lomex,Mouser,,Összesített Lomex
,,,,,,
"C1, ",1,22u,82-10-19,,,3
,,,,,,0
"C2, C3, C4, C7, C8, C9, C11, C12, C13, C14, ",10,100n,82-13-46,,,12
,,,,,,0
"C5, C6, ",2,10u,82-17-06,,,4
,,,,,,0
"C10, ",1,680n,82-12-15,,,3
,,,,,,0
"D1, ",1,LED_Dual_AAK,95-00-13,,,3
,,,,,,0
"D2, ",1,35V,96-03-92,,,3
,,,,,,0
"D3, ",1,3V,85-00-96,,,3
,,,,,,0
"D4, ",1,5V6,85-02-01,,,3
,,,,,,0
"F1, ",1,Polyfuse 1.5A,44-05-45,,,3
,,,,,,0
"IC1, ",1,ESP32-WROVER-IE,,356-ESP32WVIE23264UC,,0
,,,,,,0
"J1, ",1,Conn_01x04_Male,,,,0
,,,,,,0
"J2, ",1,Barrel_Jack_Switch_Pin3Ring,43-07-67,,,3
,,,,,,0
"J3, ",1,Conn_ARM_JTAG_SWD_10,43-15-33,,,3
,,,,,,0
"J4, ",1,Conn_02x08_Odd_Even,43-01-07,,,3
,,,,,,0
"JP1, ",1,Jumper_2_Open,,,,0
,,,,,,0
"Q1, Q2, Q3, ",3,Si2307CDS,86-03-40,,,5
,,,,,,0
"R1, R2, R3, R4, R7, R8, ",6,10k,80-54-49,,,8
,,,,,,0
"R5, ",1,68,80-56-46,,,3
,,,,,,0
"R6, ",1,56,80-10-71,,,3
,,,,,,0
"RV1, ",1,30V,60-01-53,,,3
,,,,,,0
"SW1, ",1,SW_Push,45-11-28,,,3
,,,,,,0
"TP1, ",1,TestPoint,,,,0
,,,,,,0
"U1, ",1,IFX27001TFV33,89-25-59,,,3
,,,,,,0
"U2, U3, ",2,ZXBM5210-S,,621-ZXBM5210-S-13,,0
